"YEAR","STATE","RETURNSCOUNT","NUM_BUS_INCOME","SAL&WAGES","UNEMP_COMP_Count","UNEMP_COMP$","NUM_RE_TAXES","AGI","PERC_BUSINESS_RETURN","UNEMP_COMP_PR","PERC_RE","AGI_PR"
2010,"ID",1261022.0235,206626.0483,42294950.0254,184382.0558,1135332.0558,391090.0377,60405798.0235,16.3856018728764,900.32690519461,31.0137357168846,47902.2545980935
2010,"IL",11807878.093,1738376.2454,515968510.0986,1351346.2737,12499716.2737,3790258.1996,732100160.093,14.7221730416623,1058.59123673627,32.0994015160688,62000.9924159877
2010,"IN",5815866.0442,747350.1186,210669694.0472,688634.1442,5224704.1442,1486252.0885,287036156.0442,12.850194844933,898.353590762368,25.5551293170206,49353.9833728552
2010,"KS",2544942.0816,369004.1502,99659216.085,228570.1278,1674152.1278,737584.1116,141611828.0816,14.4995107302406,657.835060335622,28.9823535448116,55644.4207926999
2010,"KY",3583228.0803,518998.1502,124640624.082,402438.16,2910180.16,969428.1127,172640896.0803,14.4840947483462,812.167156201888,27.0546024694815,48180.2699162387
2010,"LA",3789084.0278,663564.0707,138697960.0301,220554.1052,1208366.1052,681398.0709,194672718.0278,17.5125192746194,318.907180821111,17.9831871212323,51377.2501743198
2010,"MA",6210594.0089,914564.0319,324038558.0101,713606.0566,7694544.0566,2280622.0149,465624108.0089,14.7258705139862,1238.93850500829,36.7214796464201,74972.5561422376
2010,"MD",5445864.0141,886098.0473,281697298.016,396374.0701,2922582.0701,2234024.0274,378941824.0141,16.2710277929413,536.660860890592,41.0223983121107,69583.4165217813
2010,"ME",1196768.0404,204418.0824,42223478.0434,114214.1027,755706.1027,360002.0689,59045348.0404,17.0808440315365,631.455785239233,30.0811900675151,49337.3369334504
2010,"MI",8959778.0562,1307296.1342,320625062.0592,1301082.1551,10445100.1551,2678452.0855,458438210.0562,14.5907200602517,1165.77666205383,29.8941789484011,51166.2462151023
2010,"MN",5010012.0691,741670.1609,222726926.0724,543260.1883,4562980.1883,1888936.1247,307689488.0691,14.8037599644592,910.772294630359,37.7032250351311,61414.9195301985
2010,"MO",5235622.11,769142.21,194300370.1151,533938.2306,3320974.2306,1496180.1685,272786036.11,14.690560048842,634.303653095391,28.5769319684533,52101.9337107964
2010,"MS",2409540.036,396698.0767,75669164.0375,195578.107,1000958.107,474750.0612,103325964.036,16.4636433000941,415.414598655791,19.7029330954018,42882.0283092403
2010,"MT",865888.0361,142476.0565,27092338.0383,96714.0441,561442.0441,249446.0404,41760748.0361,16.4543278761211,648.400278896058,28.8081172161145,48228.8082235116
2010,"NC",8063542.0412,1271948.0999,302286916.0438,899136.1435,7558232.1435,2564516.0597,413173282.0412,15.774061738639,937.334003454293,31.8038406273176,51239.6760542855
2010,"ND",625142.046,89650.0903,23598660.0495,35680.0466,189074.0466,109968.0503,35793068.046,14.3407551729451,302.449735719744,17.5908901030791,57255.8961199676
2010,"NE",1656380.0678,242494.1336,63999046.07,113370.0975,577688.0975,467172.1031,91003062.0678,14.6400055346041,348.765424512313,28.2044026115635,54940.9304282863
2010,"NH",1284004.0111,197334.0325,59173530.0122,120016.0534,927786.0534,448302.0205,81949382.0111,15.3686461096757,722.572550692556,34.9143785085174,63823.3068609298
2010,"NJ",8364286.0073,1162392.0337,454870828.0081,1240612.0452,13395118.0452,3301844.0117,621190066.0073,13.8970861671338,1601.46580754284,39.4755034538308,74266.9566135294
2010,"NM",1608280.0282,223640.0481,54063398.0291,127352.0493,1138754.0493,391640.0356,76449388.0282,13.9055415834704,708.057072980321,24.3514828719428,47534.873708382
2010,"NV",2370082.0058,314874.014,87897642.0063,322020.0181,2911614.0181,633070.0081,134747226.0058,13.2853636806427,1228.48661395461,26.7108904481266,56853.4024038199
2010,"NY",18058068.0981,2997398.2412,858287000.1034,1835592.297,15251852.297,4965640.1744,1260424020.0981,16.5986650671418,844.600441982204,27.4981805773701,69798.3866962334
2010,"OH",10637400.065,1431642.1489,388787776.0681,1003662.2025,8244846.2025,3051892.1092,536343862.065,13.4585720209067,775.080955131869,28.6902071046625,50420.5782228423
2010,"OK",3023100.0579,494004.1199,108398418.0628,216780.1327,1532020.1327,712970.1035,155108370.0579,16.3409781495344,506.771229320216,23.5840723047475,51307.7195882316
2010,"OR",3360318.0304,503382.0643,122242508.033,524964.0732,4244468.0732,1226388.0413,178125348.0304,14.9801911529213,1263.11498935556,36.4961896524424,53008.4790841052
2010,"PA",11868094.0962,1477152.2251,482288506.103,1666028.2494,14868830.2494,3422090.1811,676768048.0962,12.4464148424048,1252.84061020049,28.8343701470627,57024.155909995
2010,"RI",993784.0015,134964.0051,40617838.0015,147430.0076,1382102.0076,340352.0025,56775618.0015,13.5808188596604,1390.74688817075,34.2480863030879,57130.7426118793
2010,"SC",3943862.0248,576568.0576,133229060.0264,409104.0845,2810800.0845,1097022.0381,186494818.0248,14.6193769958075,712.70243908762,27.8159334987291,47287.3586479632
2010,"SD",750076.047,114204.0832,25939348.0494,32276.0469,157550.0469,136960.0497,39598904.047,15.2256672715747,210.045431433434,18.2594885209019,52793.1857114749
2010,"TN",5518128.0463,942334.1006,199580594.0498,530170.1398,3297120.1398,1209632.0868,271988354.0463,17.0770611463402,597.507000949493,21.9210586751621,49289.9678594216
2010,"TX",21092582.0924,3979810.2121,888652634.1033,1414364.3004,11222638.3004,4772294.1898,1225461992.0924,18.8682931025974,532.065645222436,22.625462207017,58099.1927268096
2010,"UT",2156440.0134,327660.0287,86656546.014,180780.0365,1254494.0365,793424.0214,117582044.0134,15.1944884468818,581.74307131413,36.7932340556522,54525.9980721706
2010,"VA",7251656.0598,1024820.1431,358811792.063,441574.179,2816644.179,2650898.0989,487444312.0598,14.132222138625,388.413923078101,36.5557615672841,67218.3440637756
2010,"VT",598348.0264,108020.0555,21729330.0284,69586.07,420474.07,175034.0472,30687236.0264,18.0530478474058,702.724921697845,29.252882850321,51286.6002266804
2010,"WA",6090438.0284,807384.0698,271909274.031,768520.0866,7239140.0866,2058830.0482,382055004.0284,13.2565846008962,1188.60746186786,33.8043017365841,62730.2998974556
2010,"WI",5330566.048,656844.1205,208920636.0512,858458.1315,5351216.1315,1857680.0719,288667212.048,12.3222208408138,1003.87390069161,34.8495836121755,54153.2005135376
2010,"WV",1460928.0708,172332.132,49750996.0726,150590.1495,943618.1495,248480.1071,68072884.0708,11.7960723354184,645.903222999389,17.0083737910473,46595.6438454383
2010,"WY",490068.013,73742.0252,19789468.0141,42932.0238,272046.0238,113240.0215,30524308.013,15.0473043014134,555.118915300436,23.1070011704681,62285.8607443943
2011,"AK",732778.0033,109500.0073,31132303.0035,190646.0095,616228.0095,164936.0091,43680002.0033,14.9431351387291,840.94774505358,22.5083188028606,59608.7789297591
2011,"AL",4119934.0439,670542.1089,146835456.0461,297764.1578,1396281.1578,989025.081,201456834.0439,16.2755544568197,338.908619148246,24.0058474349694,48898.072614094
2011,"AR",2423662.0651,380831.13,82406076.0667,204963.1653,1080896.1653,503170.1343,117147542.065,15.7130457865332,445.976434117849,20.7607381220962,48334.932395027
2011,"AZ",5464306.0114,786929.0335,207291477.0124,437635.0542,2378721.0542,1581015.0209,292856895.0113,14.4012621521975,435.319883117335,28.933500752,53594.5268073059
2011,"CA",33313348.0536,5905838.142,1540408300.0601,3913397.2018,29298012.2018,9769972.095,2201612647.0536,17.7281434831999,879.467658269008,29.3274998336416,66088.0030284342
2011,"CO",4746654.027,802330.0622,212816070.0295,382241.1044,2950842.1044,1615356.0532,305285502.027,16.9030659836629,621.667829088653,34.0314681460141,64315.9371402402
2011,"CT",3439316.0035,515702.0154,201938771.0043,420740.0311,3310102.0311,1379676.0067,294634133.0035,14.9943190702802,962.430328510522,40.1148369412982,85666.4908672734
2011,"DC",648894,112500.0005,35654354,40664.0034,286013.0034,171922.0008,50721616,17.3371922841019,440.769992325403,26.4946201999094,78166.2582794725
2011,"DE",857696.0017,98794.0051,35644099.0021,79587.0087,503788.0087,272176.0031,49517726.0016,11.5185339449158,587.373623873103,31.7333883521122,57733.4229184387
2011,"FL",18846028.0199,3113208.0704,637472952.023,1549297.1509,10605450.1509,3938680.0378,1007715287.0199,16.519173520875,562.741928415974,20.8992581017127,53470.9640649917
2011,"GA",8985670.0395,1665331.0997,341932052.0414,643986.1577,3987265.1577,2609714.0631,458079791.0395,18.5331877576117,443.735986317373,29.0430658106517,50978.9241120398
2011,"HI",1294834.0009,186598.0031,49302829.0011,95456.0084,804951.0084,317958.0016,70041596.0009,14.4109594720483,621.663477975171,24.5558891239338,54093.1084233316
2011,"IA",2800906.092,408443.2272,107442613.0987,257149.3076,1362118.3076,817173.21,152047516.092,14.5825391421227,486.313451025905,29.1753162426268,54285.1174219232
2011,"ID",1312536.0228,214018.0518,44576963.0247,167956.0635,845951.0635,388483.041,64201606.0227,16.3056897549707,644.516454257274,29.5978955435645,48914.1668552002
2011,"IL",12056466.0878,1784016.2529,537344750.0936,1171430.3175,9026358.3175,3850963.2167,757724903.0877,14.7971738974595,748.673637180784,31.9410612417913,62848.0101523651
2011,"IN",5958182.0418,767066.1215,220502898.0451,527795.1603,3456896.1603,1458329.0921,298739298.0417,12.8741638996358,580.193108577067,24.4760747803441,50139.3371242899
2011,"KS",2610552.08,375955.1649,103270239.085,187548.241,1169945.241,733682.1695,146166778.0799,14.4013662006697,448.16008459023,28.1044831520848,55990.7535267023
2011,"KY",3695310.0783,537765.1762,130559826.0801,360682.2078,2221634.2078,970354.1642,178555181.0783,14.5526400979967,601.203731412452,26.2590728149775,48319.4041352121
2011,"LA",3984338.0279,688123.0776,145918617.03,214648.1327,1002967.1327,682820.0933,200348469.0278,17.2707002463515,251.727420132731,17.1376045033983,50284.0039235819
