STATE,YEAR,PERC_BUSINESS_RETURN,UNEMP_COMP_PR,PERC_RE,AGI_PR
kentucky,2014,14.14,182.26,23.22,53266.4304
louisiana,2014,18.15,81.04,16.45,58909.61992
massachusetts,2014,14.78,422.89,33.35,86883.75958
maryland,2014,18.19,201.64,36.7,73938.01093
maine,2014,16.51,216.76,25.88,54569.93908
michigan,2014,14.5,212.93,24.56,58235.41158
minnesota,2014,14.22,257.98,32.33,69970.23861
missouri,2014,14.14,146.75,23.45,58170.67326
mississippi,2014,17.67,105.92,17.77,47944.4062
montana,2014,15.66,208.41,25.22,56445.80685
north carolina,2014,16.4,109.84,26.04,57714.48197
north dakota,2014,13.09,125.53,13.54,74045.33901
nebraska,2014,13.95,91,24.5,62121.80378
new hampshire,2014,14.7,199.47,29.95,70354.43431
new jersey,2014,14.63,429,36.35,83503.5322
new mexico,2014,13.85,190.43,19.77,52425.96887
nevada,2014,14.42,270.81,20.24,61912.91564
new york,2014,16.63,238.61,25.25,81561.73786
ohio,2014,13.35,168.52,23.65,57298.53253
oklahoma,2014,16.26,114.06,20.12,60441.18703
oregon,2014,14.65,298.14,32.31,61469.56793
pennsylvania,2014,12.57,349.62,26.05,64147.57954
rhode island,2014,13.66,390.99,30.49,62610.48788
south carolina,2014,15.12,104.25,24.22,53677.08004
south dakota,2014,14.29,64.2,14.47,61695.37241
tennessee,2014,17.27,107.35,17.57,55759.02641
texas,2014,19.16,157.92,19.14,68399.54262
utah,2014,15.12,136.46,32.17,62885.8547
virginia,2014,14.76,108.46,32.7,73545.41512
vermont,2014,17.23,219.47,25.88,59030.14018
washington,2014,13.12,298.67,28.18,73812.07655
wisconsin,2014,12.03,240.24,29.38,60673.50871
west virginia,2014,10.93,242.7,14.49,50565.4325
wyoming,2014,14.66,159.26,19.21,76563.22886
alaska,2015,15.23,660.22,19.93,70126.37007
alabama,2015,16.48,83.82,21.06,55679.24612
arkansas,2015,15.76,166.53,18.4,55567.79687
arizona,2015,15.24,104.92,25.28,61716.04552
california,2015,18.58,298.6,27.56,80502.80428
colorado,2015,17.3,168.91,29.32,74501.77249
connecticut,2015,15.68,331.35,37.85,96417.20609
district of columbia,2015,17.49,139.78,25.54,95285.50867
delaware,2015,12.07,170.25,28.55,64750.34421
florida,2015,19.41,60.61,18.82,66717.11569
georgia,2015,20.91,81.08,27.26,61841.69973
hawaii,2015,15.11,184.85,22.87,62475.03159
iowa,2015,13.81,221.08,26.65,61932.6685
idaho,2015,15.88,175.91,25.69,56948.90826
illinois,2015,15.1,233.01,28.22,73412.88492
indiana,2015,12.83,91.73,20.59,56888.10947
kansas,2015,14.39,128.37,23,64073.7958
kentucky,2015,14.18,152.4,23.13,55011.97461
louisiana,2015,18.42,90.25,16.59,58143.1111
massachusetts,2015,15,359.08,33.29,89622.05967
maryland,2015,18.59,155.79,36.8,76277.76929
maine,2015,16.5,172.35,25.93,56266.42237
michigan,2015,14.49,170.79,24.52,60015.4232
minnesota,2015,14.1,231.46,32.06,72151.75829
missouri,2015,14.23,120.98,23.5,59833.36705
mississippi,2015,17.95,86.27,17.71,48864.5404
montana,2015,15.64,198.99,25.58,57394.97752
north carolina,2015,16.52,67.45,25.96,60183.28889
north dakota,2015,12.99,150.24,14.41,70626.5892
nebraska,2015,13.88,77.05,24.42,62977.62981
new hampshire,2015,14.77,163.87,29.74,72218.8403
new jersey,2015,14.98,371.82,36.19,85506.51368
new mexico,2015,13.76,164.96,19.58,52562.71256
nevada,2015,14.72,230.85,20.46,64397.09171
new york,2015,16.6,166.39,25.2,84062.27372
ohio,2015,13.37,147.59,23.27,58746.07224
oklahoma,2015,16.35,153.3,20.12,60069.83304
oregon,2015,14.71,246.47,32.48,64567.23646
pennsylvania,2015,12.73,313.98,25.93,66171.20407
rhode island,2015,13.91,326,30.42,64351.43999
south carolina,2015,15.49,82.86,24.47,56365.46237
south dakota,2015,14.16,61.13,14.32,62504.69265
tennessee,2015,17.36,70.66,17.19,58137.23476
texas,2015,19.48,177,19.36,68771.23639
utah,2015,15.08,114.88,32.16,64767.33402
virginia,2015,15.1,82.33,32.68,75368.03146
vermont,2015,17.09,185.97,25.73,59494.13086
washington,2015,13.17,254.16,28.02,76837.62782
wisconsin,2015,11.99,187.51,28.85,62568.76326
west virginia,2015,10.85,258.64,14.46,51328.55386
wyoming,2015,14.8,214.37,19.36,76791.29181
